x (Parameter) -> outputs: [<Shape: [1,3,640,640]>]
Result_4499 (Result) -> outputs: [<Shape: [1,6,8400]>]
__module.model.22/aten::cat/Concat_5 (Concat) -> outputs: [<Shape: [1,6,8400]>]
__module.model.22/aten::sigmoid/Sigmoid (Sigmoid) -> outputs: [<Shape: [1,2,8400]>]
__module.model.22/aten::split_with_sizes/VariadicSplit (VariadicSplit) -> outputs: [<Shape: [1,64,8400]>, <Shape: [1,2,8400]>]
Constant_4356 (Constant) -> outputs: [<Shape: [2]>]
949 (Constant) -> outputs: [<Shape: []>]
__module.model.22/aten::cat/Concat_3 (Concat) -> outputs: [<Shape: [1,66,8400]>]
__module.model.22/aten::view/Reshape_2 (Reshape) -> outputs: [<Shape: [1,66,400]>]
Constant_4346 (Constant) -> outputs: [<Shape: [3]>]
__module.model.22/aten::cat/Concat_2 (Concat) -> outputs: [<Shape: [1,66,20,20]>]
__module.model.22.cv3.2.2/aten::_convolution/Add (Add) -> outputs: [<Shape: [1,2,20,20]>]
__module.model.22.cv3.2.2/aten::_convolution/Reshape (Constant) -> outputs: [<Shape: [1,2,1,1]>]
__module.model.22.cv3.2.2/aten::_convolution/Convolution (Convolution) -> outputs: [<Shape: [1,2,20,20]>]
__module.model.22.cv3.2.2/aten::_convolution/Convolution/fq_weights_1 (Multiply) -> outputs: [<Shape: [2,192,1,1]>]
Constant_450984 (Constant) -> outputs: [<Shape: [2,1,1,1]>]
Convert_450983 (Convert) -> outputs: [<Shape: [2,192,1,1]>]
Constant_450982 (Constant) -> outputs: [<Shape: [2,192,1,1]>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_76/fq_output_0 (FakeQuantize) -> outputs: [<Shape: [1,192,20,20]>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_76/fq_output_0/output_high (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_76/fq_output_0/output_low (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_76/fq_output_0/input_high (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_76/fq_output_0/input_low (Constant) -> outputs: [<Shape: []>]
__module.model.22.cv3.2.1.act/aten::silu_/Swish_76 (Swish) -> outputs: [<Shape: [1,192,20,20]>]
__module.model.22.cv3.2.1.conv/aten::_convolution/Add (Add) -> outputs: [<Shape: [1,192,20,20]>]
__module.model.22.cv3.2.1.conv/aten::_convolution/Reshape (Constant) -> outputs: [<Shape: [1,192,1,1]>]
__module.model.22.cv3.2.1.conv/aten::_convolution/Convolution (Convolution) -> outputs: [<Shape: [1,192,20,20]>]
