model,mode,accuracy,macro_f1,macro_precision,macro_recall
full_w_best_model,full,0.8950848100579851,0.8690411729928561,0.8667400430781863,0.8809943503028902
full_nw_best_model,full,0.91356419010459,0.8822588130134421,0.8861176647256866,0.8785224323848363
peft_lora_r8_a8_w_best_model,peft,0.8880398851135317,0.8581527573204196,0.8509979965100086,0.8709731047302429
peft_lora_r8_a8_nw_best_model,peft,0.8967647536985855,0.859966855415557,0.8675293083707206,0.8530614192859213
peft_lora_r8_a16_w_best_model,peft,0.8908036633609712,0.8627731766409248,0.8535909907609208,0.8779427850100987
peft_lora_r8_a16_nw_best_model,peft,0.8980653552267924,0.8628302812408566,0.8693391441678117,0.8571905743987575
peft_dora_r8_a8_w_best_model,peft,0.8871728174280604,0.85761630814112,0.84911161756095,0.8719156284240586
peft_dora_r8_a8_nw_best_model,peft,0.8975234379233729,0.8611658094996559,0.8684591520154571,0.8544212434132591
peft_dora_r8_a16_w_best_model,peft,0.8889611445293448,0.8604623470225726,0.8516812772213619,0.8753241031791014
peft_dora_r8_a16_nw_best_model,peft,0.8976860131143988,0.8621656840506309,0.8681888176255433,0.8566872313808078
